datacreationdate,pollutant,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,co_8hr,pm2.5_avg,pm10_avg,so2_avg,AirPressure,AirTemperature,RelativeHumidity,WindSpeed,Precipitation,SunshineDuration
2025/2/11 07:00,0,1.6,0.33,6,6,8,9,16,18.8,2.3,0.3,11,13,0,1017.2,12.1,87,0.5,0,0
2025/2/11 08:00,3,1.7,0.79,2,4,15,9,23,52.3,29.5,0.4,10,12,0,1017.3,13.7,80,0.8,0,0.7
2025/2/11 09:00,3,2.3,1.09,4,4,24,14,29,71.4,42.6,0.5,11,14,0,1017.4,17.2,68,0.6,0,1
2025/2/11 10:00,3,3.3,0.55,7,4,31,17,26,56.7,30.6,0.5,12,18,0,1017.6,18.9,65,1.2,0,1
2025/2/11 11:00,1,3.5,0.35,21,6,27,20,19,30,11.4,0.5,14,20,1,1017.6,19.3,64,1.8,0,1
2025/2/11 12:00,1,1.6,0.31,34,10,23,14,13,16.5,3.7,0.4,15,22,1,1016.5,20.2,61,1.4,0,1
2025/2/11 13:00,1,1.4,0.32,42,15,16,17,12,15.5,2.9,0.5,15,21,1,1015.5,21.2,55,2,0,1
2025/2/11 14:00,1,1.9,0.28,51,21,19,10,9,11,1.6,0.5,14,20,1,1014.5,22.1,49,1.5,0,1
2025/2/11 15:00,1,1.6,0.25,51,26,15,10,8,9.6,1.3,0.4,13,18,1,1013.9,22.6,56,1.8,0,1
2025/2/11 16:00,0,1.3,0.22,42,31,27,11,9,10.9,1.5,0.4,12,19,1,1013.5,20.2,71,1.1,0,1
2025/2/11 17:00,0,0.9,0.25,44,36,38,14,9,10.3,1.1,0.3,12,22,1,1013.7,18.5,81,0.9,0,0.7
2025/2/11 18:00,1,0.7,0.29,40,40,36,14,10,10.8,0.5,0.2,13,26,1,1014.3,17.9,84,1,0,0
2025/2/11 19:00,1,0.3,0.39,32,42,47,19,14,14,0.3,0.2,14,31,1,1015,17.4,89,0.6,0,0
2025/2/11 20:00,1,0.4,0.31,32,42,41,14,14,14.1,0.3,0.2,15,34,1,1015.5,17.1,92,1,0,
2025/2/11 21:00,1,0.2,0.24,32,40,42,10,12,11.7,0,0.2,14,35,1,1015.9,16.6,94,0.3,0,
2025/2/11 22:00,2,0.8,0.29,25,37,48,15,14,14.4,0.2,0.2,14,38,1,1015.7,16.7,94,0.4,0,
2025/2/11 23:00,2,0.6,0.28,20,33,61,20,16,16.3,0.3,0.2,14,41,1,1015.5,16.7,94,0.3,0,
2025/2/12 00:00,2,0.6,0.26,22,31,62,20,15,15.4,0.4,0.2,15,45,1,1015.9,16.2,94,1,0,
2025/2/12 01:00,2,0.3,0.21,30,29,42,22,9,9,0.2,0.2,17,46,1,1015.7,15.8,95,0.5,0,
2025/2/12 02:00,2,1.4,0.2,30,28,58,20,8,9.1,0.6,0.2,18,49,1,1015.8,15.5,96,0.7,0,
2025/2/12 03:00,2,1.5,0.2,32,28,45,14,7,7.5,0.6,0.2,18,48,1,1015.8,15.5,97,0.4,0,
2025/2/12 04:00,2,1.2,0.2,32,28,45,15,6,6.6,0.7,0.2,17,47,1,1015.4,15.5,97,0.4,T,
2025/2/12 05:00,2,1.2,0.21,31,28,56,16,6,6.9,0.8,0.2,16,49,1,1015.6,15.7,96,0.1,0,
2025/2/12 06:00,2,1.3,0.24,23,27,63,18,8,8.6,0.7,0.2,16,51,1,1016.1,16,96,0.1,0,0
2025/2/12 07:00,2,1.3,0.26,21,28,79,18,10,10.3,0.8,0.2,17,57,1,1016.2,16.1,95,0.6,0,0
2025/2/12 08:00,2,1.3,0.32,21,27,84,21,12,12.5,1,0.2,18,63,1,1016.6,16,95,0.8,0,0
2025/2/12 09:00,2,1.7,0.44,16,26,56,29,16,18.7,2.6,0.2,20,64,1,1016.6,17,93,0.3,0,0
2025/2/12 10:00,2,1.7,0.47,8,23,49,30,22,31.2,9.3,0.2,22,62,1,1016.4,18.6,86,0.3,0,0
2025/2/12 11:00,1,1.6,0.48,5,20,44,30,19,34.6,15.2,0.3,24,57,1,1015.7,19.9,83,0.6,T,0
2025/2/12 12:00,1,,,6,16,41,,,,,0.3,25,51,1,1014.5,20.5,88,0.4,T,0
2025/2/12 13:00,1,2.2,0.56,,14,,27,22,36.8,15.3,0.3,25,50,1,1013.5,20.9,84,0.2,T,0
2025/2/12 14:00,1,3,0.88,4,12,63,50,,,,0.4,30,53,1,1013.1,21.2,85,0.1,0.5,0
2025/2/12 15:00,1,2.1,0.51,4,9,61,35,27,37.8,10.6,0.5,32,56,1,1013,18.7,96,1.3,T,0
2025/2/12 16:00,1,1.7,0.41,7,7,45,30,21,27,5.5,0.5,32,57,1,1013.1,18.2,96,1.2,T,0
2025/2/12 17:00,1,1.5,0.4,12,7,34,27,25,27.9,2.9,0.5,32,53,1,1014.3,17.7,97,1.3,0.5,0
2025/2/12 18:00,1,1.5,0.38,15,8,25,22,22,22.7,1.1,0.5,29,47,1,1015,16.7,98,0.4,1,0
2025/2/12 19:00,1,1.3,0.34,21,10,20,21,17,17.7,0.4,0.4,27,39,1,1015.7,16.2,98,0.7,2.5,0
2025/2/12 20:00,1,1.7,0.35,25,12,19,18,14,13.8,0.3,0.4,26,33,1,1016.3,16.3,98,1.5,2.5,
2025/2/12 21:00,1,1.8,0.41,21,13,15,16,17,17.7,0.5,0.4,24,28,1,1016.7,16.7,98,0.3,3.5,
2025/2/12 22:00,1,2,0.43,17,15,17,15,21,22.2,0.8,0.4,22,26,1,1016.6,16.9,99,0.6,2,
2025/2/12 23:00,1,2.2,0.37,17,17,5,10,22,22.3,0.7,0.3,20,22,1,1016.9,17,99,0.4,2,
2025/2/13 00:00,1,2.1,0.33,26,19,13,8,14,14.5,0.3,0.3,18,20,1,1017,17.1,99,0.7,3,
2025/2/13 01:00,1,1.9,0.35,25,21,9,7,12,12.5,0.4,0.3,16,19,1,1016.8,16.2,99,2.4,2,
2025/2/13 02:00,1,1.7,0.4,28,22,12,12,8,8.9,1.2,0.3,14,16,1,1016.5,15.5,97,3,1,
2025/2/13 03:00,1,1.8,0.43,30,24,23,21,6,6.9,1,0.3,15,17,1,1016.4,14.9,96,2.7,0.5,
2025/2/13 04:00,1,2.2,0.46,28,24,,21,7,7.9,1.1,0.3,16,16,1,1017.1,15,94,2.2,0.5,
2025/2/13 05:00,1,2.4,0.47,27,25,20,19,8,8.7,1,0.4,17,17,1,1016.8,14.2,95,3.3,1.5,
2025/2/13 06:00,1,2.6,0.47,26,26,10,11,7,8.5,1.1,0.4,16,16,1,1017.8,13.9,95,2.6,3.5,0
2025/2/13 07:00,1,2.8,0.44,26,27,7,9,8,9.5,1.2,0.4,14,12,1,1018.2,13.7,95,2.5,5.5,0
2025/2/13 08:00,1,2.8,0.53,27,27,6,9,10,11.7,1.5,0.4,12,11,2,1018.9,13.5,93,3.8,6,0
2025/2/13 09:00,0,3.2,0.58,29,28,5,6,13,14.9,1.8,0.4,10,9,2,1018.5,13.7,91,3.5,3,0
2025/2/13 10:00,0,3.3,0.54,32,28,4,6,13,14.8,2.1,0.4,10,7,2,1017.8,14.1,89,3.8,T,0
2025/2/13 11:00,0,3,0.52,31,28,7,10,14,16.5,2.6,0.5,10,8,2,1016.8,15,88,3.4,T,0
2025/2/13 12:00,0,3.1,0.46,32,29,6,12,14,17,2.8,0.5,10,7,2,1016.8,15.7,84,4,T,0
2025/2/13 13:00,0,3.3,0.36,36,30,13,14,11,14,2.5,0.4,12,8,2,1016.3,15.9,80,2.5,0,0
2025/2/13 14:00,0,2.8,0.3,38,31,16,13,8,10.5,2,0.4,12,10,2,1015.4,16.4,73,3.6,0,0
2025/2/13 15:00,0,2.8,0.32,37,33,18,11,9,11.4,2.1,0.4,12,11,2,1015.2,16.2,75,4.3,0,0
2025/2/13 16:00,1,2.7,0.34,34,34,23,20,12,13.6,1.8,0.4,13,14,2,1015.6,15.6,81,3.6,0,0
2025/2/13 17:00,1,2.6,0.35,32,34,21,19,13,15,1.8,0.3,14,15,2,1015.9,15,83,3.1,0,0
2025/2/13 18:00,1,2.9,0.36,31,34,28,10,13,14.6,1.6,0.3,13,17,2,1016.3,14.9,83,2.3,0,0
2025/2/13 19:00,1,2.6,0.35,31,34,16,12,12,13.4,1.5,0.3,14,17,2,1016.3,15,80,3.9,0,0
2025/2/13 20:00,1,2.6,0.32,34,34,18,18,10,11,1.3,0.3,14,17,2,1016.3,14.9,79,2.8,0,
2025/2/13 21:00,1,2.3,0.31,33,34,21,11,9,10.8,1.4,0.3,13,18,2,1016.8,15,80,2.1,0,
2025/2/13 22:00,1,2.6,0.29,34,33,16,10,9,10.3,1.3,0.3,13,17,2,1016.3,14.9,80,2.1,0,
2025/2/13 23:00,1,2.5,0.26,34,33,11,14,8,9.1,1.1,0.3,13,16,2,1016,15.2,78,1.9,0,
2025/2/14 00:00,0,2.8,0.24,35,33,12,9,7,8.1,1.1,0.3,12,16,2,1015.9,15.4,78,1.8,0,
2025/2/14 01:00,0,2.6,0.24,35,33,12,8,7,7.7,1.1,0.2,12,15,2,1015.4,15.5,79,2.4,0,
2025/2/14 02:00,0,1.2,0.21,36,34,12,7,6,6.9,1.1,0.2,11,14,2,1014.9,15.7,80,1.1,0,
2025/2/14 03:00,0,1.1,0.21,34,34,12,8,6,6.5,1,0.2,10,14,2,1014.2,15.6,82,0.7,T,
2025/2/14 04:00,0,1.1,0.21,31,34,9,7,7,7.8,1,0.2,9,13,2,1014,15.7,82,0.2,0,
2025/2/14 05:00,0,1,0.21,27,33,7,4,9,10.1,0.9,0.2,8,12,2,1014.4,15.8,84,0.1,T,
2025/2/14 06:00,0,0.6,0.21,28,33,8,4,7,8.5,1,0.2,8,10,2,1014.9,15.1,93,0.3,T,0
2025/2/14 07:00,0,0.8,0.25,22,31,9,4,12,13.3,1.2,0.2,7,10,2,1014.9,15.3,92,0.7,T,0
2025/2/14 08:00,0,1,0.38,15,28,9,7,20,21.9,2.3,0.2,6,9,2,1015.4,16.2,88,0.9,0,0
2025/2/14 09:00,0,0.8,0.46,18,26,15,9,22,24.5,2.9,0.2,7,10,2,1015.8,16.8,85,0.4,T,0
2025/2/14 10:00,0,0.8,0.45,18,24,13,10,21,25.6,4.8,0.2,8,11,2,1015.6,17.5,85,0.7,0,0
2025/2/14 11:00,0,0.3,0.43,19,22,12,9,21,26.4,5.7,0.3,8,11,1,1014.7,18.7,79,0.4,0,0
2025/2/14 12:00,0,0.2,0.37,26,22,18,5,18,21.7,4.2,0.3,8,12,1,1014,19.3,76,1.6,0,0
2025/2/14 13:00,0,0,0.31,32,22,21,6,13,16,2.6,0.3,7,14,1,1012.9,19.4,77,0.6,0,0
2025/2/14 14:00,0,0.1,0.24,36,23,25,7,9,11,1.8,0.3,7,16,1,1012.7,18.5,83,1.8,0,0
2025/2/14 15:00,0,0,0.25,35,25,18,8,9,10.9,2.1,0.3,6,17,1,1011.9,19.6,80,1.5,0,0.3
2025/2/14 16:00,0,0.1,0.27,31,27,15,5,12,14.8,2.6,0.3,6,16,1,1011.6,20.3,78,0.4,0,0
2025/2/14 17:00,0,0,0.32,28,28,18,9,14,16,1.6,0.3,7,17,1,1012,19.1,85,0.3,0,0
2025/2/14 18:00,0,0,0.37,26,29,28,12,14,15.7,1.3,0.3,8,18,1,1012.6,18.2,89,0.8,0,0
2025/2/14 19:00,0,0,0.37,25,30,26,9,15,15.7,0.9,0.3,8,19,1,1012.6,18,90,0.4,0,0
2025/2/14 20:00,0,0.2,0.55,15,29,24,12,20,21.5,1,0.3,9,21,0,1012.7,18.1,90,0,0,
2025/2/14 21:00,3,0,0.75,5,25,30,16,30,32.3,2.7,0.3,11,23,0,1013.1,18,91,0.3,0,
2025/2/14 22:00,1,0.1,0.71,4,21,55,35,29,33.1,4.2,0.4,14,28,0,1013.1,18,92,0.1,0,
2025/2/14 23:00,1,0,0.64,1,17,111,85,27,31,4.3,0.4,27,43,0,1013.2,17.8,91,0.1,0,
2025/2/15 00:00,1,0,0.66,0,13,108,77,27,32.8,5.7,0.5,38,57,0,1013.3,17.4,94,0.2,0,
2025/2/15 01:00,1,0,0.48,1,10,89,61,25,30.3,5,0.5,46,68,0,1013.4,16.9,97,0.3,0,
2025/2/15 02:00,1,2.1,0.32,6,7,67,41,18,19.4,1.1,0.5,48,71,0,1013,16.7,98,0.3,0,
2025/2/15 03:00,1,1.6,0.3,12,6,88,74,12,12.7,0.6,0.5,50,71,0,1012.7,16.9,98,0,0,
2025/2/15 04:00,1,1.5,0.24,18,6,60,37,12,12.9,0.8,0.5,46,67,0,1012.7,16.9,98,0.9,0,
2025/2/15 05:00,1,1.6,0.16,30,9,41,10,7,7.2,0.6,0.4,40,62,0,1012.8,16.3,99,0,0,
2025/2/15 06:00,1,1.6,0.19,27,12,30,10,6,6.7,0.5,0.3,36,57,0,1012.9,16.5,99,0.2,0,0
2025/2/15 07:00,1,1.7,0.29,11,13,29,18,15,15.8,1.1,0.3,29,50,0,1012.6,16.5,99,0.5,0,0
2025/2/15 08:00,1,1.8,0.37,9,14,21,19,14,17.4,3.2,0.2,27,45,0,1012.5,17.1,94,0.2,0,0.1
2025/2/15 09:00,1,1.8,0.4,14,16,35,31,12,18.2,5.7,0.2,30,44,0,1012.8,18.7,87,0.8,0,0.7
2025/2/15 10:00,1,1.6,0.29,25,18,43,18,11,14.8,3.6,0.2,31,46,0,1013,18.5,89,1.1,0,0.7
2025/2/15 11:00,1,1.7,0.27,30,20,58,22,9,10.9,1.9,0.2,29,47,0,1012.4,17.8,91,1.5,0,0.1
2025/2/15 12:00,1,1.6,0.25,35,23,59,15,8,10,1.6,0.2,26,50,0,1011.2,18.1,90,1.4,0,0
2025/2/15 13:00,1,1.2,0.24,42,24,62,19,7,8.5,1.4,0.2,22,52,0,1010.1,19.1,87,1.1,0,0.6
2025/2/15 14:00,2,1,0.24,44,26,52,13,7,9,1.7,0.2,20,52,0,1009.4,19.9,82,1.3,0,1
2025/2/15 15:00,2,1.4,0.24,46,30,53,19,8,9.5,1.7,0.2,18,50,0,1009.1,19.9,81,2.5,0,1
2025/2/15 16:00,2,1.7,0.22,47,35,52,19,8,9,1.2,0.2,18,49,1,1009.8,16.5,92,1.5,0,0.5
2025/2/15 17:00,2,1.3,0.23,50,40,48,18,7,7.7,0.8,0.2,18,48,1,1010.3,16.3,96,0.7,0,0
2025/2/15 18:00,2,1.4,0.25,48,43,43,16,8,9.1,0.5,0.2,18,47,1,1010.5,16.5,95,0.7,0,0
2025/2/15 19:00,1,1.2,0.33,42,44,61,27,11,12,0.7,0.2,20,49,1,1010.7,16.6,92,1.3,0,0
2025/2/15 20:00,1,1.5,0.32,38,45,45,27,12,12.7,0.7,0.2,21,50,1,1011.1,17,92,0.4,0,
2025/2/15 21:00,1,1.5,0.36,29,43,65,30,12,13.2,0.7,0.2,23,53,1,1011.2,16.9,92,0.8,0,
2025/2/15 22:00,1,1.6,0.41,21,40,70,37,15,16.1,0.6,0.2,26,57,1,1012.2,16.8,93,2.7,0,
2025/2/15 23:00,1,1.8,0.36,24,37,62,47,15,15.9,0.6,0.3,30,58,1,1012.4,16.4,96,1.1,0,
2025/2/16 00:00,1,1.9,0.4,20,34,58,41,17,17.8,0.7,0.3,32,59,1,1012.5,16.7,96,1,0,
2025/2/16 01:00,1,1.7,0.42,16,30,62,46,15,16,0.7,0.3,36,59,1,1012.5,16.8,96,0.5,0,
2025/2/16 02:00,1,1.7,0.38,15,26,46,32,12,12.1,0.4,0.3,36,56,1,1012.8,16.7,95,1,0,
2025/2/16 03:00,1,1.7,0.33,19,23,39,37,14,14.1,0.4,0.3,35,52,1,1012.4,16.6,95,0.8,0,
2025/2/16 04:00,1,1.7,0.27,24,21,31,25,11,11.5,0.3,0.3,33,48,1,1012.7,16.6,94,0.5,0,
2025/2/16 05:00,1,1.8,0.26,31,21,28,26,8,8.3,0.1,0.3,31,43,1,1013.1,16.7,93,1,0,
2025/2/16 06:00,1,1.6,0.24,31,22,16,19,7,7.4,0.4,0.3,30,38,1,1013.4,16.9,92,1.3,0,0
2025/2/16 07:00,1,1.7,0.26,28,23,21,16,8,8.9,0.5,0.3,27,34,1,1013.9,17.1,93,0.7,0,0
2025/2/16 08:00,1,1.8,0.26,28,24,23,15,9,9.5,0.7,0.3,25,32,1,1014.6,17.6,91,2.3,0,0
2025/2/16 09:00,1,1.9,0.28,29,25,25,19,8,9.3,0.8,0.2,24,30,1,1015,18.6,89,1.8,0,0
2025/2/16 10:00,1,1.6,0.3,29,27,23,22,9,10.1,1.2,0.2,23,29,1,1015.5,18.6,89,2.1,0,0
2025/2/16 11:00,1,1.5,0.41,25,28,23,16,10,12.3,1.9,0.2,22,28,1,1015.4,19,88,2,0,0
2025/2/16 12:00,1,1.5,0.42,33,29,28,20,10,12.7,2.4,0.3,22,27,1,1014.8,21.3,77,2.7,0,0.5
2025/2/16 13:00,1,1.8,0.4,42,31,24,16,9,10.6,1.7,0.3,20,25,1,1013.6,22.1,68,2.6,0,1
2025/2/16 14:00,1,2.5,0.41,49,33,29,24,9,10.4,1.4,0.3,20,25,1,1012.8,21.3,73,3.8,0,1
2025/2/16 15:00,1,2.2,0.43,49,36,33,21,9,10.4,1.4,0.3,20,26,1,1012.8,20.5,73,2.9,0,1
2025/2/16 16:00,1,2.3,0.45,46,38,40,17,10,11.4,1.1,0.3,19,28,1,1013.5,20.4,72,3.9,0,1
2025/2/16 17:00,1,2.2,0.46,44,40,33,23,12,12.9,1.1,0.4,20,30,1,1014.4,19.1,75,4.2,0,0.8
2025/2/16 18:00,1,1.9,0.5,41,41,38,24,13,13.7,0.8,0.4,20,32,1,1014.7,18.4,78,1.7,0,0
2025/2/16 19:00,1,1.5,0.55,39,43,41,21,13,13.7,0.4,0.4,20,34,1,1016,17.6,80,2.4,0,0
2025/2/16 20:00,1,1.7,0.57,44,44,38,30,12,12.2,0.6,0.4,23,34,1,1016.7,17.6,77,2.1,0,
2025/2/16 21:00,1,1.8,0.6,45,45,36,30,12,12.6,0.4,0.4,24,35,1,1017.4,17.4,77,2.9,0,
2025/2/16 22:00,1,1.7,0.58,50,45,47,35,11,11.6,0.5,0.5,26,37,1,1017.6,17,76,1.1,0,
2025/2/16 23:00,1,1.7,0.54,51,45,43,32,10,10.5,0.5,0.5,28,38,1,1017.6,16.9,75,2.7,0,
2025/2/17 00:00,1,2,0.47,50,46,27,22,8,8.1,0.3,0.5,27,37,1,1017.4,17,68,2.9,0,
2025/2/17 01:00,1,2.4,0.42,50,46,23,20,7,7.1,0.4,0.5,26,35,1,1017,17,59,1.9,0,
2025/2/17 02:00,1,1.4,0.35,55,48,33,20,5,5.7,0.6,0.5,24,33,1,1016.8,16.9,55,2.9,0,
2025/2/17 03:00,1,1.6,0.32,55,50,38,22,5,5.4,0.7,0.4,23,33,1,1016.8,16.7,56,2.7,0,
2025/2/17 04:00,1,2.1,0.33,56,52,39,22,5,5.8,0.6,0.4,23,34,1,1016.7,16.7,54,3.3,0,
2025/2/17 05:00,1,2.3,0.32,56,53,40,24,6,6.3,0.5,0.4,24,37,1,1016.8,16.6,51,2.2,0,
2025/2/17 06:00,1,2.5,0.33,53,53,36,19,7,7.4,0.6,0.3,23,37,1,1017.3,16.2,52,1.8,0,0
2025/2/17 07:00,1,2.4,0.32,53,53,42,23,9,9.5,0.6,0.3,23,38,1,1017.7,16.5,47,1.9,0,0
2025/2/17 08:00,1,2.6,0.37,51,54,52,24,12,13.7,1.1,0.3,23,40,1,1017.7,17.4,45,4.5,0,1
2025/2/17 09:00,1,2.8,0.37,53,54,60,23,13,14,1.4,0.3,23,43,2,1017.9,19.2,44,3.6,0,1
2025/2/17 10:00,1,2.1,0.33,57,54,69,25,10,11.4,1.4,0.3,23,48,2,1017.5,20.3,42,4.6,0,1
2025/2/17 11:00,1,1.7,0.34,60,55,67,27,9,10.2,1.1,0.3,24,52,2,1017,21.3,43,4.2,0,1
2025/2/17 12:00,1,1.8,0.38,63,56,74,,10,12,1.4,0.3,24,57,2,1016.5,22,42,4.3,0,1
2025/2/17 13:00,1,1.8,0.38,53,55,,27,10,11.5,1.3,0.3,25,60,2,1015.7,22.1,42,3.1,0,1
2025/2/17 14:00,1,1.7,0.37,56,56,68,28,9,10.8,1.3,0.3,26,61,2,1014.8,22.7,43,3.3,0,1
2025/2/17 15:00,1,1.7,0.37,62,57,66,25,9,10.6,1.1,0.3,25,62,1,1014.3,22.1,45,4.7,0,1
2025/2/17 16:00,1,1.5,0.39,64,58,67,25,10,10.7,1,0.3,25,62,1,1014.3,20.4,48,3.4,0,1
2025/2/17 17:00,1,1.8,0.43,62,60,62,39,11,12.1,1,0.3,28,63,1,1014.8,19.6,51,2.3,0,0.8
2025/2/17 18:00,1,1.4,0.49,61,60,67,32,13,13.7,0.8,0.3,29,64,1,1015.5,18.5,55,2.5,0,0
2025/2/17 19:00,1,1.4,0.53,62,60,76,44,13,14,0.6,0.4,32,67,1,1016,17.9,58,3,0,0
2025/2/17 20:00,1,1.6,0.49,63,60,76,41,13,13.3,0.7,0.4,35,69,1,1016.7,17.5,60,1.3,0,
2025/2/17 21:00,1,1.5,0.49,62,61,75,44,13,14,0.7,0.4,36,71,1,1017.4,17.5,60,1.6,0,
2025/2/17 22:00,1,1.3,0.48,63,62,65,43,12,13.2,0.7,0.4,38,71,1,1017.8,18,59,1.6,0,
2025/2/17 23:00,1,0.9,0.44,63,62,71,51,10,11.1,0.6,0.4,40,70,1,1018.2,18.1,59,2.1,0,
2025/2/18 00:00,1,0.9,0.48,62,62,88,55,10,10.8,0.6,0.4,43,72,1,1018.3,17.7,66,3,0,
2025/2/18 01:00,1,1.2,0.44,62,62,79,49,10,10.9,0.5,0.4,44,73,1,1019.1,16.7,71,3.2,0,
2025/2/18 02:00,1,2.2,0.35,60,62,61,32,10,10.7,1.1,0.4,43,72,1,1018.9,15.8,79,2.2,T,
2025/2/18 03:00,1,1.9,0.29,56,61,42,24,7,7.7,1.1,0.4,40,68,1,1017.8,15.4,82,2.1,0,
2025/2/18 04:00,1,1.8,0.29,50,60,35,21,7,8,1.1,0.4,36,60,1,1018,15.5,81,1.9,0,
2025/2/18 05:00,1,1.8,0.26,47,58,18,13,7,8.1,1,0.3,30,50,1,1018.4,15.6,80,2.4,0,
2025/2/18 06:00,1,2,0.23,44,55,14,10,7,8,1,0.3,26,42,1,1019,15.6,78,2.2,0,0
2025/2/18 07:00,1,2.2,0.22,40,52,13,11,8,9.7,1.2,0.3,23,36,1,1019.8,15.6,78,3,0,0
2025/2/18 08:00,1,2.5,0.28,34,49,15,10,13,14.3,1.4,0.2,21,31,1,1020.1,15.8,78,2.4,0,0
2025/2/18 09:00,1,2.3,0.28,34,45,17,12,14,15.9,1.8,0.2,19,28,1,1020.9,16.1,79,2.1,0,0
2025/2/18 10:00,1,2.4,0.28,32,42,21,10,15,17.9,2.5,0.2,18,28,1,1020.8,16.7,78,2.6,0,0
2025/2/18 11:00,1,2,0.26,34,39,13,9,14,17.4,2.9,0.2,16,25,1,1020.3,16.8,76,2.6,0,0
2025/2/18 12:00,1,2.1,0.25,37,38,16,11,12,15,3,0.2,14,22,1,1019.1,17.3,74,2.9,0,0
2025/2/18 13:00,0,2.1,0.24,38,37,12,9,11,14.4,3,0.2,12,19,1,1018.2,18,71,3.7,0,0.2
2025/2/18 14:00,0,2.5,0.21,40,36,12,6,10,12.4,2.8,0.2,10,16,1,1017.7,17.6,69,3.6,0,0
2025/2/18 15:00,0,2.6,0.21,39,36,13,3,10,12.5,2.4,0.2,9,14,1,1017.8,17.5,66,4.2,0,0.2
2025/2/18 16:00,0,2.5,0.21,36,36,26,4,12,14.1,2.2,0.2,7,15,1,1017.9,16.5,75,3.1,0,0
2025/2/18 17:00,0,2.2,0.23,36,37,21,7,12,14,2.2,0.2,7,17,1,1017.4,16.5,73,2.4,0,0
2025/2/18 18:00,0,2,0.27,34,37,18,9,13,14.6,1.8,0.2,7,17,1,1018.1,15.6,77,3.5,0,0
2025/2/18 19:00,0,2.4,0.28,34,37,13,6,13,14.8,1.4,0.2,7,17,1,1018.4,15.5,76,4,0,0
2025/2/18 20:00,0,2.2,0.28,36,37,10,13,11,12.1,1.2,0.2,8,15,1,1018.5,15.3,77,2.3,0,
2025/2/18 21:00,0,2,0.27,37,37,8,8,10,11,1.1,0.2,8,13,2,1018.9,15.2,78,3.2,0,
2025/2/18 22:00,0,2.2,0.26,38,36,7,4,9,10,1.1,0.2,8,11,2,1019,15.1,79,1.8,0,
2025/2/18 23:00,0,2.4,0.24,39,36,6,3,7,8.5,1.1,0.2,7,10,2,1019.3,15.2,78,1.9,0,
2025/2/19 05:00,0,1.5,0.19,46,42,4,6,4,3.9,0.4,0.2,6,7,2,1018.7,15.1,78,2.7,0,
2025/2/19 04:00,0,1.5,0.18,46,41,8,8,4,4.1,0.2,0.2,6,8,2,1018.7,15.1,76,2.8,0,
2025/2/19 00:00,0,2.6,0.23,39,37,3,2,7,8.1,1.1,0.2,5,9,2,1018,15.4,72,1.7,0,
2025/2/19 08:00,0,1,0.31,38,44,7,7,11,11.6,0.5,0.2,6,6,2,1017.5,15.5,71,2.4,0,
2025/2/19 01:00,0,2.7,0.21,42,37,8,3,6,7.6,1.1,0.2,4,9,2,1017.1,15.3,73,2.9,0,
2025/2/19 02:00,0,1.9,0.19,44,39,7,7,6,6.1,0.6,0.2,5,8,2,1017.5,15.6,72,1.4,0,
2025/2/19 03:00,0,1.7,0.18,45,40,8,6,5,5,0.3,0.2,5,8,2,1018.6,15.8,71,1.4,0,0
2025/2/19 06:00,0,1.4,0.2,44,43,9,4,5,5.5,0.4,0.2,6,7,2,1019.3,15.9,73,1.2,0,0
2025/2/19 07:00,0,1.2,0.22,43,44,8,7,7,7.2,0.5,0.2,6,7,2,1019.7,16.1,72,1.5,0,0
2025/2/19 09:00,0,1.2,0.32,37,43,12,5,13,13.5,0.8,0.2,5,8,2,1020,16.5,71,2.3,0,0
2025/2/19 10:00,0,1.2,0.3,36,42,11,8,13,14.6,1.2,0.2,6,8,1,1019.9,17,69,2.4,0,0
2025/2/19 11:00,0,1.3,0.26,37,41,19,10,13,14.7,1.5,0.2,7,10,1,1019.1,17.7,68,2.6,0,0
2025/2/19 12:00,0,,,,40,11,8,,,,0.2,7,11,1,1018.3,18.5,66,2.7,0,0
2025/2/19 13:00,0,1.4,0.22,43,40,11,4,7,9,1.6,0.2,7,11,1,1016.8,20.3,62,2.6,0,0.9
2025/2/19 14:00,0,1.4,0.22,44,40,8,8,7,8.4,1.7,0.2,7,10,1,1016.1,21.4,59,1.9,0,1
2025/2/19 15:00,0,1.7,0.23,43,40,11,6,8,9.6,1.5,0.2,7,10,1,1016.3,20.5,62,2.7,0,0.2
2025/2/19 16:00,0,1.5,0.24,40,40,10,6,9,10.5,1.3,0.2,6,10,1,1016.5,20,65,1.8,0,0.2
2025/2/19 17:00,0,1.4,0.26,36,40,10,6,10,11.8,1.2,0.2,6,10,1,1016.4,19.1,69,2.3,0,0.2
2025/2/19 18:00,0,1.4,0.32,30,39,11,5,15,16.2,0.9,0.2,6,10,1,1016.6,18.2,73,1.7,0,0
2025/2/19 19:00,0,1,0.37,26,38,11,6,17,18,0.7,0.2,6,10,1,1017,17.7,74,0.9,0,0
2025/2/19 20:00,0,1.2,0.35,28,36,7,8,15,15.7,0.6,0.2,6,10,1,1017.4,17.4,76,0.5,0,
2025/2/19 21:00,0,0.9,0.34,27,34,9,11,15,15.5,0.6,0.2,7,10,1,1017.8,17.2,76,0.9,0,
2025/2/19 22:00,0,1.3,0.37,25,32,8,8,17,17.5,0.6,0.3,8,9,1,1017.9,16.7,79,0.9,0,
2025/2/19 23:00,0,1.1,0.33,26,30,11,9,14,14.5,0.5,0.3,8,9,1,1018,16.2,83,0.2,0,
